Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,agebyyrbuilt,agebyyrremodel,OA2,TotalGrBsmtSF
1461,20,RH,80,11622,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Names,Feedr,Norm,1Fam,1Story,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,270,882,GasA,TA,Y,SBrkr,896,0,896,1508,0,1,1,2,1,TA,4,5,Typ,0,No Fireplace,Attchd,1961,Unf,1,TA,TA,Y,140,0,120,0,No Pool,MnPrv,None,0,6,2010,WD,Normal,49,49,2508,1778
1462,20,RL,81,14267,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,406,1329,GasA,TA,Y,SBrkr,1329,0,1329,2252,0,1.5,1.5,3,1,Gd,6,6,Typ,0,No Fireplace,Attchd,1958,Unf,1,TA,TA,Y,393,36,36,0,No Pool,No Fence,Gar2,12500,6,2010,WD,Normal,52,52,3078,2658
1463,60,RL,74,13830,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,137,928,GasA,Gd,Y,SBrkr,928,701,1629,2420,0,2.5,2.5,3,1,TA,7,6,Typ,1,TA,Attchd,1997,Fin,2,TA,TA,Y,212,34,34,0,No Pool,MnPrv,None,0,3,2010,WD,Normal,13,12,3039,2557
1464,60,RL,78,9978,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,324,926,GasA,Ex,Y,SBrkr,926,678,1604,2206,0,2.5,2.5,3,1,Gd,7,7,Typ,1,Gd,Attchd,1998,Fin,2,TA,TA,Y,360,36,36,0,No Pool,No Fence,None,0,6,2010,WD,Normal,12,12,3020,2530
1465,120,RL,43,5005,Pave,No Alley Access,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,1017,1280,GasA,Ex,Y,SBrkr,1280,0,1280,1543,0,2,2,2,1,Gd,5,5,Typ,0,No Fireplace,Attchd,1992,RFn,2,TA,TA,Y,0,82,226,0,No Pool,No Fence,None,0,1,2010,WD,Normal,18,18,3066,2560
1466,60,RL,75,10000,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,763,763,GasA,Gd,Y,SBrkr,763,892,1655,1655,0,2.5,2.5,3,1,TA,7,7,Typ,1,TA,Attchd,1993,Fin,2,TA,TA,Y,157,84,84,0,No Pool,No Fence,None,0,4,2010,WD,Normal,17,16,2858,2418
1467,20,RL,0,7980,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,233,1168,GasA,Ex,Y,SBrkr,1187,0,1187,2122,1,2,3,3,1,TA,7,6,Typ,0,No Fireplace,Attchd,1992,Fin,2,TA,TA,Y,483,21,21,0,No Pool,GdPrv,Shed,500,3,2010,WD,Normal,18,3,2775,2355
1468,60,RL,63,8402,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,789,789,GasA,Gd,Y,SBrkr,789,676,1465,1465,0,2.5,2.5,3,1,TA,7,7,Typ,1,Gd,Attchd,1998,Fin,2,TA,TA,Y,0,75,75,0,No Pool,No Fence,None,0,5,2010,WD,Normal,12,12,2647,2254
1469,20,RL,85,10176,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,663,1300,GasA,Gd,Y,SBrkr,1341,0,1341,1978,1,1.5,2.5,2,1,Gd,6,5,Typ,1,Po,Attchd,1990,Unf,2,TA,TA,Y,192,0,0,0,No Pool,No Fence,None,0,2,2010,WD,Normal,20,20,3147,2641
1470,20,RL,70,8400,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,4,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,0,882,GasA,TA,Y,SBrkr,882,0,882,1764,1,1,2,2,1,TA,5,4,Typ,0,No Fireplace,Attchd,1970,Fin,2,TA,TA,Y,240,0,0,0,No Pool,MnPrv,None,0,4,2010,WD,Normal,40,40,2289,1764
